experiment_name,version,response
Experiment A Chunks,American Story Ylla Chunks 1,"{'Here are the answers to the questions after each paragraph': '', '1. ***2': ""Slightly*** (The passage sets the scene for the story, but there's a sense of curiosity about the characters and their world.)"", '2. ***7': 'Extremely*** (The reader wants to learn more about the crystal house, the golden fruits, and the magnetic dust.)', '3. ***7': 'Extremely*** (The reader wants to learn more about the story and the characters.)', '4. ***1': ""No surprise*** (The passage is continuing to establish the world and the characters, so there's no surprise yet.)"", '5. ***1': ""No irony*** (There's no apparent irony in this paragraph.)"", '1. ***6': 'Very much*** (The reader feels a sense of anticipation and excitement about the events yet to come.)', '2. ***3': 'Somewhat*** (The reader is curious about the past events, but not overly interested.)', '4. ***2': 'Slightly surprised*** (The reader might be surprised by the idea that Mr. and Mrs. K are not happy, despite their idyllic life.)', '2. ***6': 'Very much*** (The reader is very interested in learning more about the past events.)', '4. ***3': ""Somewhat surprised*** (The reader might be surprised by Mrs. K's emotional state and her desire for more attention from her husband.)""}"
Experiment A Chunks,American Story Ylla Chunks 2,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Ylla Chunks 3,"{'Here are the answers to the questions after each paragraph': '', '***Question 1': '*** 7. Extremely', '***Question 2': '*** 1. Not at all', '***Question 3': '*** 7. Extremely', '***Question 4': '*** 6. Very surprised', '***Question 5': '*** 3. Some irony'}"
Experiment A Chunks,American Story Ylla Chunks 4,"{'Here are the answers to the questions after each paragraph': '', '**Paragraph 1': '**', 'Anticipation/Excitement/Anxiety': '1. Not at all', 'Want to learn more about past events': '6. Very much', 'Want to learn more about events yet to come': '1. Not at all', 'Surprise': '2. Slight', 'Irony': '2. Slight', '**Paragraph 2': '**', '**Paragraph 3': '**', '**Paragraph 4': '**'}"
Experiment A Chunks,American Story Ylla Chunks 5,"{'Here are the answers to the questions after each paragraph': '', '***Question 1': '*** 7. Extremely', '***Question 2': '*** 7. Extremely', '***Question 3': '*** 7. Extremely', '***Question 4': '*** 7. Extremely surprised', '***Question 5': '*** 7. Extreme irony'}"
Experiment A Chunks,American Story Flying Chunks 1,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Flying Chunks 2,"{'Here are the answers to the questions after each paragraph': '', '**Paragraph 1': '**', 'He moved swiftly down the stairs to the street and began to walk, thinking suddenly. It is only in sleep that we may know we live. There only, in that living death, do we meet ourselves and the far earth, God and the saints, the names of our fathers, the substance of remote moments': 'it is there that the centuries merge in the moment, that the vast becomes the tiny, tangible atom of eternity. He walked into the day as alertly as might be, making a definite noise with his heels, perceiving with his eyes the superficial truth of streets and structures, the trivial truth of reality.', '***Question 1': '*** 4. Neutral or Uncertain', '***Question 2': '*** 7. Extremely', '***Question 3': '*** 4. Neutral or Uncertain', '***Question 4': '*** 2. Slightly surprised', '***Question 5': '*** 2. Slight irony', '**Paragraph 2': '**', 'Helplessly his mind sang, He flies through the air with the greatest of ease, the daring young man on the flying trapeze, then laughed with all the might of his being. It was really a splendid morning': 'gray, cold, and cheerless, a morning for inward vigor; ah, Edgar Guest, he said, how I long for your music. In the gutter he saw a coin which proved to be a penny dated 1923, and placing it in the palm of his hand he examined it closely, remembering that year and thinking of Lincoln, whose profile was stamped upon the coin. There was almost nothing a man could do with a penny. I will purchase a motor-car, he thought. I will dress myself in the fashion of a fop, visit the hotel strumpets, drink and dine, and then return to the quiet. Or'}"
Experiment A Chunks,American Story Flying Chunks 3,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Flying Chunks 4,"{'Here are the answers to the questions': '', '***Question 1': '""To what extent do you feel anticipation, excitement, or anxiety about events yet to come in the passage?""***', '***Question 2': '""To what extent do you want to learn more about past events (events which already occurred in the passage up to this point, or which occurred before the passage began)?""***', '***Question 3': '""To what extent do you want to learn more about events yet to come in the passage?""***', '***Question 4': '""To what extent did you feel surprised by any information or events in the passage?""***', '***Question 5': '""To what extent did you feel irony in relation to information or events in the passage?""***'}"
Experiment A Chunks,American Story Flying Chunks 5,"{'Here are the answers to the questions after each paragraph': '', '***Question 1': '***', '***Question 2': '*** 1. Not at all', '***Question 3': '*** 6. Very much', '***Question 4': '*** 2. Slightly surprised', '***Question 5': '*** 2. Slight irony'}"
Experiment A Full,American Story Old Phoebe Full,"{'***Question 1': '""Overall, how much did you enjoy, appreciate, or like the passage?""***', '***Question 2': '""During your reading, to what extent did you feel either bored or interested while reading the passage?""***', '***Question 3': '""Some of the passages used in this experiment may be stories, and some may not be stories. To what extent do you consider that this passage, as given to you, makes a \'story\'?""***', '***Question 4': '""To what extent were you satisfied with the outcome of the passage?""***', '***Question 5': '""To what extent did the passage seem complete?""***', '***Question 6': '""Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?""***', '***Question 7': '""To what extent did you feel an emotional connection with the character(s) in the passage?""***', '***Question 8': '""To what extent could the information and events in the passage be understood?""***', '***Question 9': '""To what extent did you find the passage violent?""***', '***Question 10': '""To what extent did you think that the author was trying to express an insight about human nature, or a truth about the \'human condition\'?""***'}"
Experiment A Full,American Story Lottery Full,"{'Here are the answers to the questions': '', '***Question 1': '""Overall, how much did you enjoy, appreciate, or like the passage?""***', '***Question 2': '""During your reading, to what extent did you feel either bored or interested while reading the passage?""***', '***Question 3': '""Some of the passages used in this experiment may be stories, and some may not be stories. To what extent do you consider that this passage, as given to you, makes a \'story\'?""***', '***Question 4': '""To what extent were you satisfied with the outcome of the passage?""***', '***Question 5': '""To what extent did the passage seem complete?""***', '***Question 6': '""Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?""***', '***Question 7': '""To what extent did you empathize or identify with the character(s) in the passage?""***', '***Question 8': '""To what extent could the information and events in the passage be understood?""***', '***Question 9': '""To what extent did you find the passage violent?""***', '***Question 10': '""To what extent did you think that the author was trying to express an insight about human nature, or a truth about the \'human condition\'?""***'}"
Experiment A Full,American Story Ylla Full,"{'Here are the answers to the questions based on the passage': '', '***Question 1': '""Overall, how much did you enjoy, appreciate, or like the passage?""***', '***Question 2': '""During your reading, to what extent did you feel either bored or interested while reading the passage?""***', '***Question 3': '""Some of the passages used in this experiment may be stories, and some may not be stories. To what extent do you consider that this passage, as given to you, makes a \'story\'?""***', '***Question 4': '""To what extent were you satisfied with the outcome of the passage?""***', '***Question 5': '""To what extent did the passage seem complete?""***', '***Question 6': '""Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?""***', '***Question 7': '""To what extent did you empathize or identify with the character(s) in the passage?""***', '***Question 8': '""To what extent could the information and events in the passage be understood?""***', '***Question 9': '""To what extent did you find the passage violent?""***', '***Question 10': '""To what extent did you think that the author was trying to express an insight about human nature, or a truth about the \'human condition\'?""***'}"
Experiment A Full,American Story Flying Full,"{'Here are the answers to the questions': '', '***Question 1': '""Overall, how much did you enjoy, appreciate, or like the passage?""***', 'Answer': '7. Extremely Insightful', '***Question 2': '""During your reading, to what extent did you feel either bored or interested while reading the passage?""***', '***Question 3': '""Some of the passages used in this experiment may be stories, and some may not be stories. To what extent do you consider that this passage, as given to you, makes a \'story\'?""***', '***Question 4': '""To what extent were you satisfied with the outcome of the passage?""***', '***Question 5': '""To what extent did the passage seem complete?""***', '***Question 6': '""Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?""***', '***Question 7': '""To what extent did you empathize or identify with the character(s) in the passage?""***', '***Question 8': '""To what extent could the information and events in the passage be understood?""***', '***Question 9': '""To what extent did you find the passage violent?""***', '***Question 10': '""To what extent did you think that the author was trying to express an insight about human nature, or a truth about the \'human condition\'?""***'}"
Experiment A Full,American Story Double Birthday Full,"{'***Question 1': '""Overall, how much did you enjoy, appreciate, or like the passage?""***', '***Question 2': '""During your reading, to what extent did you feel either bored or interested while reading the passage?""***', '***Question 3': '""Some of the passages used in this experiment may be stories, and some may not be stories. To what extent do you consider that this passage, as given to you, makes a \'story\'?""***', '***Question 4': '""To what extent were you satisfied with the outcome of the passage?""***', '***Question 5': '""To what extent did the passage seem complete?""***', '***Question 6': '""Was the information in the passage correctly arranged? That is, was the information given at the best possible times to produce as effective a story as would be possible from this material?""***', '***Question 7': '""To what extent did you empathize or identify with the character(s) in the passage?""***', '***Question 8': '""To what extent could the information and events in the passage be understood?""***', '***Question 9': '""To what extent did you find the passage violent?""***', '***Question 10': '""To what extent did you think that the author was trying to express an insight about human nature, or a truth about the \'human condition\'?""***'}"
