line_nr,screen_nr,line_nr_on_screen,text
"41","5","2","Tiere, die ich bemerkte, während wir den gewundenen Pfad hinauffuhren. "
"42","5","3","Mr. Everard King, mein unbekannter Cousin, stand in voller Lebensgröße auf den Stufen seines Hauses, da er uns von fern"
"43","5","4",""gesehen hatte und vermutete, daß ich es sei. Seine Erscheinung war sehr schlicht und wohlwollend, klein und gedrungen","""
"44","5","5","fünfundvierzig Jahre alt mochte er sein, mit einem runden und gutmütigen Gesicht, braungebrannt von der tropischen Sonne und"
"45","5","6","von tausend Fältchen durchzogen. Er trug einen weißen Leinenanzug im echten Pflanzerstil und hatte eine Zigarre zwischen den"
"46","5","7","Lippen und einen großen Panamahut auf dem Hinterkopf. Er war ein Mann, wie man ihn sich auf der Veranda eines Bungalows"
"47","5","8","in den Tropen vorstellt, und vor diesem breiten englischen Steinhause mit seinen soliden Seitenflügeln und Palladio-Säulen vor"
"48","5","9","dem Eingang wirkte er merkwürdig deplaziert. "
"49","5","10","»Meine Liebe!« rief er mit einem Blick über die Schulter, »meine Liebe, unser Gast ist da! — Willkommen, willkommen auf"
"50","6","1","Greylands! Ich bin entzückt, deine Bekanntschaft zu machen, Vetter Marshall, und ich fasse es als großes Kompliment auf, daß"
"51","6","2","du dieses verschlafene kleine Landhaus mit deiner Anwesenheit beehrst.« "
"52","6","3","Seine Begrüßung hätte nicht herzlicher sein können, und ich fühlte mich sogleich wohl. Aber es bedurfte seiner ganzen"
"53","6","4","Herzlichkeit, um die Kälte, ja Unhöflichkeit seiner Frau wettzumachen, einer großen, hageren Person, die auf seinen Wunsch hin"
"54","6","5","herauskam. Sie war, glaube ich, brasilianischer Herkunft, obgleich sie ausgezeichnet englisch sprach, und ich entschuldigte ihr"
"55","6","6","Benehmen mit ihrer Unkenntnis unsrer Sitten. Sie versuchte indessen nicht zu verhehlen, weder jetzt noch später, daß ich kein"
"56","6","7","sehr willkommener Besucher in Greylands Court war. Was sie sagte, klang in der Regel höflich, aber sie besaß ein Paar"
"57","6","8","ungewöhnlich ausdrucksvoller schwarzer Augen, und in denen las ich von Anfang an recht deutlich, daß sie mich aus ganzem"
"58","6","9","Herzen wieder nach London wünschte. "
"59","6","10","Meine Schulden hingegen waren zu drückend und meine Pläne bezüglich meines Verwandten zu lebenswichtig, als daß ich’s mir"
"60","7","1","hätte erlauben können, sie von der schlechten Laune seiner Frau durchkreuzen zu lassen, also übersah ich ihre Kälte und"
"61","7","2","erwiderte die warme Herzlichkeit seines Empfangs. Er hatte keine Mühe gescheut, mir meinen Aufenthalt angenehm zu"
"62","7","3","gestalten. Mein Zimmer war bezaubernd. Er bat mich eindringlich, ihn wissen zu lassen, womit er mein Glück vervollständigen"
"63","7","4","könne. Nun, es lag mir auf der Zunge, ihm zu sagen, daß ein Blankoscheck für diesen Zweck am besten geeignet sei, doch"
"64","7","5","schien’s mir im augenblicklichen Stadium unsrer Bekanntschaft ein wenig voreilig. Das Dinner war ausgezeichnet, und als wir"
"65","7","6","hinterher seine Havanas rauchten und seinen Kaffee tranken, der, wie er mir erzählte, auf seiner eigenen Pflanzung besonders"
"66","7","7","behandelt wurde, da wollte mir scheinen, daß alle Lobgesänge meines Fahrers gerechtfertigt waren und daß ich noch nie einen"
"67","7","8","so weitherzigen und gastfreien Mann kennengelernt hatte. "
"68","7","9","Trotz seiner fröhlichen Gutmütigkeit aber war er ein Mann von starkem Willen und hitzigem Naturell. Hiervon bekam ich am"
"69","7","10","folgenden Morgen ein Beispiel. Die sonderbare Abneigung, die Mrs. Everard King mir gegenüber entwickelt hatte, war so stark,"
"70","8","1","daß ihr Benehmen beim Frühstück beinahe beleidigend wirkte. Unmißverständlich jedoch wurde ihre Absicht, als ihr Gatte das"
"71","8","2","Zimmer verlassen hatte. "
"72","8","3","»Der beste Zug am Tage ist der um zwölf Uhr fünfzehn«, sagte sie. "
"73","8","4","»Aber ich wollte heute ja noch gar nicht abreisen«, antwortete ich offen — vielleicht sogar trotzig, denn ich war entschlossen,"
"74","8","5","mich von dieser Frau nicht hinausdrängen zu lassen. "
"75","8","6","»Oh, wenn’s an Ihnen liegt — « sagte sie und hielt inne, wobei in ihren Augen ein höchst unverschämter Ausdruck lag. "
"76","8","7","»Ich glaube bestimmt«, erwiderte ich, »daß Mr. Everard King es mir sagen würde, wenn meine Anwesenheit nicht mehr"
"77","8","8","erwünscht wäre.« "
"78","8","9","»Was heißt das? Was heißt das?« sagte eine Stimme, und schon war er im Zimmer. Er hatte meine letzten Worte mitangehört,"
"79","8","10","und ein Blick auf unsre Gesichter sagte ihm den Rest. Augenblicks zeigte sein pausbäckiges, fröhliches Gesicht einen Ausdruck"
"80","9","1","größter Wildheit. "
"81","9","2","»Würdest du so freundlich sein, eine Minute hinauszugehen, Marshall?« sagte er. (Ich darf vielleicht erwähnen, daß ich Marshall"
"82","9","3","King heiße.) "
"83","9","4","Er schloß die Tür hinter mir, und dann hörte ich ganz kurz, wie er eindringlich auf seine Frau einredete. Dieser grobe Bruch der"
"84","9","5","Gastfreundschaft hatte ihn offensichtlich an der empfindlichsten Stelle getroffen. Ich bin kein Lauscher an der Wand, also ging ich"
"85","9","6",""auf den Rasen hinaus. Alsbald hörte ich eilige Schritte, und da kam die Dame des Hauses"," ihr Gesicht war bleich vor Erregung,""
"86","9","7","und ihre Augen waren rot von Tränen. "
"87","9","8","»Mein Mann hat mich aufgefordert, Sie um Verzeihung zu bitten, Mr. Marshall King, sagte sie, als sie mit niedergeschlagenen"
"88","9","9","Augen vor mir stand. "
"89","9","10","»Bitte, kein Wort weiter, Mrs. King.« "
"90","10","1","Plötzlich blitzten mich ihre dunklen Augen an. "
"91","10","2","»Sie Narr!« zischte sie mit leidenschaftlicher Heftigkeit, machte kehrt und eilte ins Haus. "
"92","10","3","Diese Beleidigung war derart unerhört, derart unverzeihlich, daß ich nur dastehen und ihr verwirrt nachstarren konnte. So stand"
"93","10","4","ich noch, als mein Gastgeber sich mir beigesellte. Er war wieder sein fröhliches, pausbäckiges Selbst. "
"94","10","5","»Ich hoffe, daß sich meine Frau für ihre albernen Bemerkungen entschuldigt hat, sagte er. "
"95","10","6","»Aber ja — ja, gewiß!« "
"96","10","7","Er schob seine Hand unter meinen Arm und ging mit mir auf dem Rasen hin und her. "
"97","10","8","»Du darfst’s nicht ernst nehmen«, sagte er. »Es würde mich unsagbar grämen, wenn du deinen Besuch auch nur um eine Stunde"
"98","10","9","verkürztest. Die Sache ist die — es gibt keinen Grund, weshalb wir unter Verwandten Heimlichkeiten haben sollten —, daß mein"
"99","10","10","armes, liebes Weib unglaublich eifersüchtig ist. Sie haßt jeden — männlich oder weiblich —, der sich auch nur für eine Sekunde"
"100","11","1","zwischen uns schieben könnte. Ihre Idealvorstellung ist eine einsame Insel und ein ewiges tête-à-tête. Jetzt hast du den Schlüssel"
"101","11","2","zu ihrer Handlungsweise, die an diesem Punkt, das gebe ich zu, von einer Manie nicht weit entfernt ist. Sag mir, daß du’s nicht"
"102","11","3","mehr übelnimmst.« "
"103","11","4","»Aber nein, auf gar keinen Fall.« "
"104","11","5","»Dann steck dir diese Zigarre an und komm mit. Wir wollen uns meine kleine Menagerie ansehen.« "
"105","11","6","Der ganze Nachmittag wurde mit dieser Besichtigung zugebracht, die alle Vögel, Säugetiere und Reptilien umfaßte, die er"
"106","11","7","importiert hatte. Einige liefen frei umher, andere befanden sich in Käfigen, einige im Hause. Begeistert berichtete er von seinen"
"107","11","8","Erfolgen und Fehlschlägen, von den Geburten und Todesfällen, und wie ein Schuljunge brach er in lautes Entzücken aus, wenn"
"108","11","9","unterwegs ein grellfarbener Vogel aus dem Grase aufflatterte oder irgendein merkwürdiges Tier Deckung suchte. Schließlich"
"109","11","10","führte er mich einen Gang hinab, der von einem Seitenflügel des Hauses ausging. An seinem Ende war eine schwere Tür mit"
"110","12","1","einem Schlitzverschluß, und daneben ragte aus der Wand ein eiserner Griff hervor, der zu einem Rad und einer Trommel"
"111","12","2","gehörte. Eine Reihe starker Eisenstäbe versperrte den Gang. "
"112","12","3","»Jetzt werde ich dir das Prunkstück meiner Sammlung vorführen«, sagte er. »In Europa gibt’s nur noch ein anderes Exemplar,"
"113","12","4","seit das Amsterdamer Jungtier tot ist. Es ist eine brasilianische Katze.« "
"114","12","5","»Aber wie unterscheidet sie sich von anderen Katzen?« "
"115","12","6","»Das wirst du gleich sehen«, sagte er lachend. »Willst du bitte den Schieber heben und durchblicken?« "
"116","12","7","Das tat ich und starrte in einen großen leeren Raum mit Fliesen auf dem Boden und kleinen vergitterten Fenstern in der"
"117","12","8","gegenüberliegenden Wand. In der Mitte dieses Raumes lag in einem Flecken goldnen Sonnenscheins ein riesiges Tier"
"118","12","9","ausgestreckt, so groß wie ein Tiger, doch schwarz und glatt wie Ebenholz. Es war einfach eine riesenhafte und sehr gut"
"119","12","10","gehaltene schwarze Katze, und die kauerte und wärmte sich in dem gelben Lichtfleck wie jede normale Katze. Sie war so"
"120","13","1","anmutig, so sehnig und sanft und schmeichlerisch teuflisch, daß ich meine Augen nicht von der Öffnung nehmen konnte. "
"121","13","2","»Ist das nicht ein herrlicher Kerl?« fragte mein Gastgeber begeistert. "
"122","13","3","»Prachtvoll. So ein edles Tier habe ich noch nie gesehen.« "
"123","13","4","»Manche sagen, es sei ein schwarzer Puma, in Wirklichkeit ist’s aber kein Puma. Der Kerl mißt von der Nase bis zur"
"124","13","5","Schwanzspitze an die elf Fuß. Vor vier Jahren war er ein kleiner Ball aus schwarzem Flaum, aus dem zwei gelbe Augen"
"125","13","6","herausstarrten. Er wurde mir als neugeborenes Jungtier im Quellgebiet des Rio Negro verkauft. Sie haben seine Mutter mit"
"126","13","7","Speeren erlegt, nachdem sie ein Dutzend von ihnen getötet hatte.«"
"127","13","8","»Also sind’s gefährliche Tiere?« "
"128","13","9","»Die gefährlichsten und blutrünstigsten Tiere der Erde. Erzähl einem Indianer im Innern was von einer brasilianischen Katze, da"
"129","13","10","sollst du mal sehen, wie er das Zittern kriegt. Sie bevorzugen Menschenfleisch. Dieser Kerl hat noch nie lebendiges Blut gekostet,"
"130","14","1","aber wenn er’s tut, ist er nicht mehr zu halten. Augenblicklich duldet er niemanden außer mir in seiner Höhle. Sogar Baldwin, der"
"131","14","2","Diener, wagt sich nicht in seine Nähe. Ich — nun ja, ich bin für ihn Mutter und Vater in einem.«"
"132","14","3","Während er sprach, öffnete er zu meinem Erstaunen die Tür, schlüpfte hindurch und schloß sie sogleich hinter sich. Beim Klang"
"133","14","4","seiner Stimme erhob sich das riesige, geschmeidige Tier, gähnte und rieb seinen runden schwarzen Kopf zutraulich an seiner"
"134","14","5","Seite, während er es streichelte und kraulte. "
"135","14","6","»So, Tommy, jetzt in deinen Käfig!« sagte er. "
"136","14","7","Die gewaltige Katze ging zur einen Seite des Raumes hinüber und rollte sich unter einem Gitter zusammen. Everard King kam"
"137","14","8","heraus, packte den Eisengriff, den ich bereits erwähnte, und drehte daran. Dabei schoben sich die Gitterstäbe im Gang durch"
"138","14","9","einen Schlitz in der Mauer und schlossen die Vorderseite des Gatters, so daß ein geschlossener Käfig entstand. Alsdann öffnete"
"139","14","10","mein Vetter die Tür wieder und ließ mich in den Raum, in dem ein beißender, muffiger Gestank herrschte, wie er großen"
"140","15","1","Fleischfressern eigentümlich ist. "
"141","15","2","»So funktioniert das«, sagte er. »Tagsüber kann er sich im Zimmer tummeln, und nachts stecken wir ihn in diesen Käfig. Man"
"142","15","3","kann ihn herauslassen, indem man den Griff im Gang betätigt, und auf die gleiche Weise wird er wieder eingesperrt, wie du"
"143","15","4","gesehen hast. — Nein, nein, das darfst du nicht!« "
"144","15","5","Ich hatte meine Hand durch das Gitter gesteckt, um die glänzende, atmende Flanke zu streicheln. Mit ernstem Gesicht zog er"
"145","15","6","mich zurück. "
"146","15","7","»Ich sage dir: Tommy ist gefährlich! Weil ich mir etwas bei ihm herausnehme, darfst du nicht glauben, daß das ein anderer auch"
"147","15","8","kann. Er ist sehr wählerisch in seinen Freundschaften — stimmt’s nicht, Tommy? Ah, er hört sein Futter kommen. Nicht wahr,"
"148","15","9","mein Junge?« "
"149","15","10",""Schritte klangen auf dem fliesenbelegten Gang, und das Tier sprang auf die Füße und schlich in dem schmalen Käfig hin und her","""
"150","16","1","seine gelben Augen leuchteten, und seine scharlachrote Zunge fuhr bebend über die Reihe seiner weißen, gezackten Zähne. Ein"
"151","16","2","Diener kam mit einem großen Keulenstück auf einem Tablett herein und warf’s ihm durchs Gitter vor. Es stürzte sich behend"
"152","16","3",""darauf und trug’s in eine Ecke"," dort hielt es das Fleisch zwischen den Pfoten, zerrte und riß daran und hob ab und zu sein""
"153","16","4","blutiges Maul, um uns einen Blick zuzuwerfen. Es war ein böses und dabei faszinierendes Schauspiel."
"154","16","5","»Du wirst dich kaum wundern, daß er mir ans Herz gewachsen ist, wie?« sagte mein Gastgeber, als wir den Raum verließen."
"155","16","6","»Besonders, wenn du bedenkst, daß ich ihn selber aufgezogen habe. Es war kein Spaß, ihn aus dem innersten Südamerika"
"156","16","7","herüberzubringen. Aber hier ist er sicher und gut aufgehoben — und, wie ich schon sagte, das vollkommenste Exemplar seiner"
"157","16","8","Gattung in Europa. Die Leute vom Zoo wollen ihn unbedingt haben, aber ich kann mich nun einmal nicht von ihm trennen. Nun,"
"158","16","9","ich glaube, ich habe dich mit meinem Hobby lange genug angeödet, also werden wir’s Tommy gleichtun und uns zu Tisch"
"159","16","10","begeben.« "
"160","17","1","Mein südamerikanischer Verwandter war von seinem Anwesen und dessen ausgefallenen Bewohnern derart in Anspruch"
"161","17","2","genommen, daß ich ihm anfangs kaum irgendwelche anderen Interessen zutraute. Daß er welche hatte, und zwar dringliche, das"
"162","17","3","wurde mir alsbald durch die zahlreichen Telegramme klar, die er erhielt. Sie kamen zu allen möglichen Zeiten, und stets öffnete er"
"163","17","4","sie äußerst wißbegierig und eifrig. Manchmal meinte ich, es müsse sich um Pferdewetten handeln, manchmal tippte ich auf"
"164","17","5","Börsenspekulationen — wie dem auch sei: er mußte sehr dringliche Geschäfte haben, die auf den Downs von Suffolk nicht"
"165","17","6","abgewickelt wurden. Im Verlauf der sechs Tage meines Besuches bekam er nie weniger als drei oder vier Telegramme pro Tag,"
"166","17","7","bisweilen sieben oder acht. "
"167","17","8","Ich hatte diese sechs Tage so gut genutzt, daß ich am Ende mit meinem Vetter auf dem vertrautesten Fuße stand. Jeden Abend"
"168","17","9","saßen wir noch spät im Billard-Zimmer, wo er mir die aufregendsten Berichte von seinen Abenteuern in Amerika gab — derart"
"169","17","10","verzweifelte und wagemutige Geschichten, daß ich sie kaum mit dem kleinen braunen, pausbäckigen Mann mir gegenüber in"
"170","18","1","Verbindung bringen konnte. Ich meinerseits gab ein paar Reminiszenzen des Londoner Lebens zum besten, die ihn derart"
"171","18","2","interessierten, daß er schwor, er werde nach Grosvenor Mansions kommen und bei mir wohnen. Er war begierig, die Hektik des"
"172","18","3","Stadtlebens kennenzulernen, und bei aller Bescheidenheit muß ich sagen, daß er sich keinen kompetenteren Führer hätte"
"173","18","4","aussuchen können. Erst am letzten Tage meines Besuchs wagte ich, auf das anzuspielen, was ich auf dem Herzen hatte. Ich"
"174","18","5","erzählte ihm offen von meinen pekuniären Schwierigkeiten und meinem drohenden Ruin und bat um seinen Rat — wenn ich"
"175","18","6","auch etwas Handgreiflicheres erhoffte. Er hörte aufmerksam zu und zog kräftig an seiner Zigarre: "
"176","18","7","»Aber du bist doch der Erbe unseres Verwandten, Lord Southerton?« sagte er. "
"177","18","8","»Ich habe jeden Grund, das anzunehmen, aber es kommt ihm nicht in den Sinn, mir eine Rente auszusetzen.« "
"178","18","9","»Ja, ja, ich habe von seinem Geiz gehört. Mein armer Marshall, deine Situation ist scheußlich. Nebenbei bemerkt: Hast du in"
"179","18","10","letzter Zeit etwas von Lord Southertons Gesundheitszustand gehört?« "
"180","19","1","»Seit meiner Kindheit ist sein Zustand kritisch.« "
"181","19","2","»Genau. Der Teller mit einem Sprung, der nie entzweigeht. Dein Erbe kann in weiter Ferne liegen. Du meine Güte: wie ist deine"
"182","19","3","Lage unangenehm!« "
"183","19","4","»Ich hatte gehofft, lieber Vetter, daß du mir vielleicht, da dir ja alle Fakten bekannt sind...« "
"184","19","5","»Kein Wort weiter, mein Junge«, sagte er mit der größten Herzlichkeit. »Wir werden es heute abend besprechen, und ich gebe"
"185","19","6","dir mein Wort, daß alles getan wird, was in meinen Kräften steht.«"
"186","19","7","Ich bedauerte es nicht, daß mein Besuch sich dem Ende näherte, denn es ist ein unangenehmes Gefühl, zu wissen, daß jemand"
"187","19","8","im Hause ist, der einen möglichst bald los sein möchte. Mrs. Kings gelbliches Gesicht und ihre abstoßenden Augen wurden mir"
"188","19","9","von Tag zu Tag verhaßter. Sie war nicht mehr grob — das verhinderte die Angst vor ihrem Mann —, doch trieb sie ihre"
"189","19","10","ungesunde Eifersucht so weit, daß sie mich ignorierte und mir meinen Aufenthalt in Greylands so unbehaglich wie möglich"
"190","20","1","machte. Ihr Benehmen am letzten Tag war derart beleidigend, daß ich bestimmt abgereist wäre, hätte nicht die Besprechung mit"
"191","20","2","meinem Gastgeber in Aussicht gestanden, von der ich mir die Wiederherstellung meiner finanziellen Unabhängigkeit versprach. "
"192","20","3","Es war sehr spät, als sie stattfand, denn mein Vetter, der im Verlauf des Tages noch mehr Telegramme als gewöhnlich"
"193","20","4","bekommen hatte, zog sich nach dem Essen in sein Arbeitszimmer zurück und kam erst wieder hervor, als sich die übrigen"
"194","20","5","Hausbewohner zur Ruhe begeben hatten. Ich hörte ihn umhergehen und die Türen abschließen, wie er’s jeden Abend tat, und"
"195","20","6","endlich kam er zu mir ins Billardzimmer. Seine kompakte Gestalt war mit einem Morgenrock bekleidet, und dazu trug er rote"
"196","20","7","türkische Pantoffeln ohne Absätze. Als er sich in einem Sessel niedergelassen hatte, braute er sich einen Grog, bei dem der"
"197","20","8","Whisky erheblich überwog, wie ich bemerkte. "
"198","20","9","»Meine Güte«, sagte er, »was für eine Nacht!« "
"199","20","10","So war’s. Der Wind schrie und heulte ums Haus, und die Fensterläden ratterten und klapperten, als sollten sie abgerissen"
"200","21","1","werden. Als Kontrast hierzu schienen die gelben Lichter heller zu glühen und unsre Zigarren besser denn je zu duften. "
"201","21","2","»Nun, mein Junge«, sagte der Gastgeber. »Wir haben das Haus und die Nacht für uns. Gib mir einen Überblick über den Stand"
"202","21","3","deiner Angelegenheiten, und ich werde zusehen, was man tun kann, um sie in Ordnung zu bringen. Ich möchte jede Einzelheit"
"203","21","4","hören.« "
"204","21","5","Dergestalt ermutigt, begann ich mit einer ausführlichen Darstellung, in der alle meine Kaufleute und Gläubiger vom Hauswirt bis"
"205","21","6","zum Diener auftauchten. Ich hatte Notizen in meiner Brieftasche und stellte alles zusammen und gab, so schmeichle ich mir,"
"206","21","7","einen untadligen Geschäftsbericht meiner höchst ungeschäftlichen Verfahrensweise und jämmerlichen Lage. Ich stellte jedoch zu"
"207","21","8","meiner Enttäuschung fest, daß meines Vetters Augen leer waren und seine Gedanken weit fort. Wenn er gelegentlich eine"
"208","21","9","Bemerkung einflocht, so war sie so oberflächlich und unzutreffend, daß ich überzeugt war, er sei meinen Ausführungen"
"209","21","10","überhaupt nicht gefolgt. Dann und wann einmal gab er sich einen Ruck und heuchelte Anteilnahme, indem er mich bat, einen"
"210","22","1","Punkt genauer zu erklären, doch jedes Mal wurde er sogleich wieder zu einer braunen Statue. Endlich erhob er sich und warf"
"211","22","2","den Rest seiner Zigarre in den Kamin. "
"212","22","3","»Ich will dir mal etwas sagen, mein Junge«, sagte er. "
"213","22","4","»Ich habe nie einen Sinn für Zahlen gehabt, das wirst du entschuldigen. Du mußt alles schön zu Papier bringen, so daß ich den"
"214","22","5","Betrag vor Augen habe. Ich versteh’s, sobald ich’s schwarz auf weiß vor mir sehe.« "
"215","22","6","Der Vorschlag war ermutigend. Ich versprach, die Aufstellung anzufertigen. "
"216","22","7","»Und jetzt ist’s an der Zeit, zu Bett zu gehen. Himmel, in der Halle schlägt’s eins.« "
"217","22","8","Das helle Läuten der Uhr brach durch das tiefe Grollen des Sturms. Der Wind rauschte ums Haus wie ein angeschwollener"
"218","22","9","Strom. "
"219","22","10","»Ich muß die Katze nochmal sehen, ehe ich ins Bett gehe«, sagte mein Cousin. »Ein solcher Sturm erregt sie. Kommst du mit?« "
"220","23","1","»Gewiß«, sagte ich. "
"221","23","2","»Dann geh leise und sprich nicht, denn sie schlafen alle.« "
"222","23","3","Schweigend durchquerten wir die von Lampen erleuchtete und mit Perserteppichen ausgelegte Halle und gingen durch die Tür"
"223","23","4","am hinteren Ende. Im Steinkorridor war alles dunkel, aber an einem Haken hing eine Stall-Laterne, und mein Vetter nahm sie ab"
"224","23","5","und zündete sie an. Im Gang war kein Gitter zu sehen, da wußte ich, daß das Tier im Käfig sein mußte. "
"225","23","6","»Komm!« sagte mein Verwandter und öffnete die Tür. "
"226","23","7","Ein tiefes Knurren bei unserm Eintreten zeigte, daß der Sturm das Tier tatsächlich aufgebracht hatte. Im flackernden Lichtschein"
"227","23","8","sahen wir es: eine gewaltige schwarze, in der Ecke des Käfigs zusammengerollte Masse, die einen kauernden, ungeschlachten"
"228","23","9","Schatten an die gekalkte Wand warf. Der Schwanz peitschte unruhig das Stroh. "
"229","23","10","»Der arme Tommy ist nicht in der besten Stimmung«, sagte Everard King, wobei er die Laterne hochhielt und ihn betrachtete."
"230","24","1","»Sieht wie ein richtiger schwarzer Teufel aus, was? Ich muß ihm eine kleine Mahlzeit verabreichen, um ihn in bessere Laune zu"
"231","24","2","versetzen. Hältst du mal einen Augenblick die Laterne?« "
"232","24","3","Ich nahm sie, und er ging zur Tür. "
"233","24","4","»Seine Speisekammer ist gleich nebenan«, sagte er. »Du entschuldigst mich doch für einen Augenblick?« Er ging hinaus, und"
"234","24","5","mit einem scharfen metallischen Schnappen schloß sich die Tür hinter ihm. "
"235","24","6","Dieses harte Geräusch ließ mein Herz stillstehen. Eine plötzliche Welle des Entsetzens überkam mich. Der ungenaue Verdacht"
"236","24","7","eines teuflischen Verrats machte mich schaudern. Ich sprang zur Tür, doch an der Innenseite war kein Griff. "
"237","24","8","»He!« rief ich. »Laß mich raus!« "
"238","24","9","»Schon gut. Mach kein Theater«, sagte mein Cousin vom Gang her. »Du hast ja die Laterne.« "
"239","24","10","»Schon, aber ich bin nicht gern so alleine eingesperrt.« "
"240","25","1","»Nein?« Ich hörte sein herzhaftes, kicherndes Lachen. »Du wirst nicht lange allein sein.« "
