experiment_name_,experiment_type_,decoding_strategy_,model_name_,experiment_version_,Q1_mean,Q1_median,Q1_std,Q1_min,Q1_max,Q1_count,Q2_mean,Q2_median,Q2_std,Q2_min,Q2_max,Q2_count,FOLLOWED_INSTRUCTIONS_mean,FOLLOWED_INSTRUCTIONS_count
Experiment A,alternative,creative,google_gemma-2-9b-it,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2-9b-it,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2-9b-it,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2b-it,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2b-it,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,1.0,1.0,,1.0,1.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-2b-it,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,0.0,1
Experiment A,alternative,creative,google_gemma-7b-it,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-7b-it,Pen Mentioned Removed,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,google_gemma-7b-it,Pen Not Mentioned,7.0,7.0,,7.0,7.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-13b-chat-hf,Pen Mentioned Not Removed,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-13b-chat-hf,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-13b-chat-hf,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-70b-chat-hf,Pen Mentioned Not Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-70b-chat-hf,Pen Mentioned Removed,5.0,5.0,,5.0,5.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-70b-chat-hf,Pen Not Mentioned,4.0,4.0,,4.0,4.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-7b-chat-hf,Pen Mentioned Not Removed,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-7b-chat-hf,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-2-7b-chat-hf,Pen Not Mentioned,5.0,5.0,,5.0,5.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-70b-chat-hf,Pen Mentioned Not Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-70b-chat-hf,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-70b-chat-hf,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-8b-chat-hf,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-8b-chat-hf,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Llama-3-8b-chat-hf,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Mentioned Not Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Not Mentioned,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Lite,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Lite,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Lite,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3-8B-Instruct-Turbo,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-405B-Instruct-Turbo,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-405B-Instruct-Turbo,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-405B-Instruct-Turbo,Pen Not Mentioned,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.1,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.1,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.1,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.2,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.2,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.2,Pen Not Mentioned,7.0,7.0,,7.0,7.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.3,Pen Mentioned Not Removed,6.0,6.0,,6.0,6.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.3,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mistral-7B-Instruct-v0.3,Pen Not Mentioned,7.0,7.0,,7.0,7.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x22B-Instruct-v0.1,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x22B-Instruct-v0.1,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x22B-Instruct-v0.1,Pen Not Mentioned,4.0,4.0,,4.0,4.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x7B-Instruct-v0.1,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x7B-Instruct-v0.1,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,creative,mistralai_Mixtral-8x7B-Instruct-v0.1,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-0.5B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-0.5B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-0.5B-Chat,Pen Not Mentioned,3.0,3.0,,3.0,3.0,1,4.0,4.0,,4.0,4.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-1.8B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,2.0,2.0,,2.0,2.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-1.8B-Chat,Pen Mentioned Removed,6.0,6.0,,6.0,6.0,1,6.0,6.0,,6.0,6.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-1.8B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-110B-Chat,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-110B-Chat,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-110B-Chat,Pen Not Mentioned,3.0,3.0,,3.0,3.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-14B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-14B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-14B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-32B-Chat,Pen Mentioned Not Removed,,,,,,0,,,,,,0,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-32B-Chat,Pen Mentioned Removed,,,,,,0,,,,,,0,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-32B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-4B-Chat,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-4B-Chat,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-4B-Chat,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-72B-Chat,Pen Mentioned Not Removed,5.0,5.0,,5.0,5.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-72B-Chat,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-72B-Chat,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-7B-Chat,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,4.0,4.0,,4.0,4.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-7B-Chat,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,4.0,4.0,,4.0,4.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen1.5-7B-Chat,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,4.0,4.0,,4.0,4.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen2-72B-Instruct,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen2-72B-Instruct,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,Qwen_Qwen2-72B-Instruct,Pen Not Mentioned,4.0,4.0,,4.0,4.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-27b-it,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-27b-it,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-27b-it,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-9b-it,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-9b-it,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2-9b-it,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2b-it,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2b-it,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-2b-it,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,1.0,1.0,,1.0,1.0,1,0.0,1
Experiment A,alternative,deterministic,google_gemma-7b-it,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-7b-it,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,google_gemma-7b-it,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-13b-chat-hf,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,4.0,4.0,,4.0,4.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-13b-chat-hf,Pen Mentioned Removed,,,,,,0,,,,,,0,0.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-13b-chat-hf,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-70b-chat-hf,Pen Mentioned Not Removed,6.0,6.0,,6.0,6.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-70b-chat-hf,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-70b-chat-hf,Pen Not Mentioned,6.0,6.0,,6.0,6.0,1,5.0,5.0,,5.0,5.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-7b-chat-hf,Pen Mentioned Not Removed,4.0,4.0,,4.0,4.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-7b-chat-hf,Pen Mentioned Removed,4.0,4.0,,4.0,4.0,1,7.0,7.0,,7.0,7.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-2-7b-chat-hf,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,2.0,2.0,,2.0,2.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-70b-chat-hf,Pen Mentioned Not Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-70b-chat-hf,Pen Mentioned Removed,3.0,3.0,,3.0,3.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-70b-chat-hf,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-8b-chat-hf,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-8b-chat-hf,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Llama-3-8b-chat-hf,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Mentioned Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,Pen Not Mentioned,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Mentioned Not Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Mentioned Removed,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,Pen Not Mentioned,2.0,2.0,,2.0,2.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
Experiment A,alternative,deterministic,meta-llama_Meta-Llama-3-8B-Instruct-Lite,Pen Mentioned Not Removed,1.0,1.0,,1.0,1.0,1,6.0,6.0,,6.0,6.0,1,1.0,1
