poem_id,stanza_id,line_id,total_lines_in_stanza,total_stanzas_in_poem,id_stanza_in_poem,id_line_in_stanza,title,line_text,emotion1anno1,emotion2anno1,emotion1anno2,emotion2anno2
4,1,5,8,1,1,5,Happy the man,Be fair or foul or rain or shine,Beauty / Joy,Awe / Sublime,Vitality,
4,1,6,8,1,1,6,Happy the man,"The joys I have possessed, in spite of fate, are mine.",Beauty / Joy,Awe / Sublime,Vitality,
4,1,7,8,1,1,7,Happy the man,"Not Heaven itself upon the past has power,",Beauty / Joy,Awe / Sublime,Vitality,
4,1,8,8,1,1,8,Happy the man,"But what has been, has been, and I have had my hour.",Beauty / Joy,Awe / Sublime,Vitality,
5,1,1,12,1,1,1,ON MR . GAY,"Of Manners gentle , of Affections mild ;",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,2,12,1,1,2,ON MR . GAY,"In Wit , a Man ; Simplicity , a Child :",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,3,12,1,1,3,ON MR . GAY,"With native Humour temp""ring virtuous Rage ,",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,4,12,1,1,4,ON MR . GAY,"Form ""d to delight at once and lash the age :",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,5,12,1,1,5,ON MR . GAY,"Above Temptation , in a low Estate ,",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,6,12,1,1,6,ON MR . GAY,"And uncorrupted , ev""n among the Great :",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,7,12,1,1,7,ON MR . GAY,"A safe Companion , and an easy Friend ,",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,8,12,1,1,8,ON MR . GAY,"Unblam ""d thro ’ Life , lamented in thy End .",Beauty / Joy,Vitality,Suspense,Beauty / Joy
5,1,9,12,1,1,9,ON MR . GAY,These are Thy Honours ! not that here thy Bust,Beauty / Joy,Vitality,Suspense,Vitality
5,1,10,12,1,1,10,ON MR . GAY,"Is mix ""d with Heroes , or with Kings thy dust ;",Beauty / Joy,Vitality,Suspense,Vitality
5,1,11,12,1,1,11,ON MR . GAY,"But that the Worthy and the Good shall say ,",Beauty / Joy,Vitality,Suspense,Vitality
5,1,12,12,1,1,12,ON MR . GAY,Striking their pensive bosoms — Here lies GAY .,Beauty / Joy,Vitality,Suspense,Vitality
6,1,1,4,2,1,1,TO —.,"Music , when soft voices die ,",Beauty / Joy,Sadness,Sadness,
6,1,2,4,2,1,2,TO —.,Vibrates in the memory —,Beauty / Joy,Sadness,Sadness,
6,1,3,4,2,1,3,TO —.,"Odours , when sweet violets sicken ,",Beauty / Joy,Sadness,Sadness,
6,1,4,4,2,1,4,TO —.,Live within the sense they quicken .,Beauty / Joy,Sadness,Sadness,
6,2,1,4,2,2,1,TO —.,"Rose leaves , when the rose is dead ,",Sadness,Beauty / Joy,Sadness,
6,2,2,4,2,2,2,TO —.,"Are heaped for the beloved ""s bed ;",Sadness,Beauty / Joy,Sadness,
6,2,3,4,2,2,3,TO —.,"And so thy thoughts , when thou art gone ,",Sadness,Beauty / Joy,Sadness,
6,2,4,4,2,2,4,TO —.,Love itself shall slumber on .,Sadness,Beauty / Joy,Sadness,
7,1,1,9,5,1,1,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The sun is warm , the sky is clear ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,2,9,5,1,2,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The waves are dancing fast and bright ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,3,9,5,1,3,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Blue isles and snowy mountains wear,Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,4,9,5,1,4,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The purple noon ""s transparent might ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,5,9,5,1,5,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The breath of the moist earth is light ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,6,9,5,1,6,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Around its unexpanded buds ;,Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,7,9,5,1,7,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Like many a voice of one delight ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,8,9,5,1,8,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The winds , the birds , the ocean floods ,",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,1,9,9,5,1,9,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The City ""s voice itself , is soft like Solitude ""s .",Beauty / Joy,Vitality,Beauty / Joy,Vitality
7,2,1,9,5,2,1,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","I see the Deep ""s untrampled floor",Beauty / Joy,,Beauty / Joy,
7,2,2,9,5,2,2,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",With green and purple seaweeds strown ;,Beauty / Joy,,Beauty / Joy,
7,2,3,9,5,2,3,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","I see the waves upon the shore ,",Beauty / Joy,,Beauty / Joy,
7,2,4,9,5,2,4,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Like light dissolved in star-showers , thrown :",Beauty / Joy,,Beauty / Joy,
7,2,5,9,5,2,5,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","I sit upon the sands alone ,—",Beauty / Joy,,Beauty / Joy,
7,2,6,9,5,2,6,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",The lightning of the noontide ocean,Beauty / Joy,,Beauty / Joy,
7,2,7,9,5,2,7,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Is flashing round me , and a tone",Beauty / Joy,,Beauty / Joy,
7,2,8,9,5,2,8,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Arises from its measured motion ,",Beauty / Joy,,Beauty / Joy,
7,2,9,9,5,2,9,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",How sweet ! did any heart now share in my emotion .,Beauty / Joy,,Beauty / Joy,
7,3,1,9,5,3,1,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Alas ! I have nor hope nor health ,",Sadness,,Sadness,
7,3,2,9,5,3,2,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Nor peace within nor calm around ,",Sadness,,Sadness,
7,3,3,9,5,3,3,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Nor that content surpassing wealth,Sadness,,Sadness,
7,3,4,9,5,3,4,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","The sage in meditation found ,",Sadness,,Sadness,
7,3,5,9,5,3,5,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",And walked with inward glory crowned —,Sadness,,Sadness,
7,3,6,9,5,3,6,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Nor fame , nor power , nor love , nor leisure .",Sadness,,Sadness,
7,3,7,9,5,3,7,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Others I see whom these surround —,Sadness,Annoyance,Sadness,
7,3,8,9,5,3,8,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Smiling they live , and call life pleasure ;—",Sadness,Annoyance,Sadness,
7,3,9,9,5,3,9,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",To me that cup has been dealt in another measure .,Sadness,Annoyance,Sadness,
7,4,1,9,5,4,1,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Yet now despair itself is mild ,",Sadness,,Sadness,
7,4,2,9,5,4,2,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Even as the winds and waters are ;,Sadness,,Sadness,
7,4,3,9,5,4,3,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","I could lie down like a tired child ,",Sadness,,Sadness,
7,4,4,9,5,4,4,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",And weep away the life of care,Sadness,,Sadness,
7,4,5,9,5,4,5,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Which I have borne and yet must bear ,",Sadness,,Sadness,
7,4,6,9,5,4,6,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Till death like sleep might steal on me ,",Sadness,,Sadness,
7,4,7,9,5,4,7,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",And I might feel in the warm air,Sadness,,Sadness,
7,4,8,9,5,4,8,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","My cheek grow cold , and hear the sea",Sadness,,Sadness,
7,4,9,9,5,4,9,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Breathe o""er my dying brain its last monotony .",Sadness,,Sadness,
7,5,1,9,5,5,1,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Some might lament that I were cold ,",Sadness,,Sadness,
7,5,2,9,5,5,2,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","As I , when this sweet day is gone ,",Sadness,,Sadness,
7,5,3,9,5,5,3,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Which my lost heart , too soon grown old ,",Sadness,,Sadness,
7,5,4,9,5,5,4,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",Insults with this untimely moan ;,Sadness,,Sadness,
7,5,5,9,5,5,5,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .",They might lament — for I am one,Sadness,,Sadness,
7,5,6,9,5,5,6,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Whom men love not ,— and yet regret ,",Sadness,,Sadness,
7,5,7,9,5,5,7,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Unlike this day , which , when the sun",Sadness,,Sadness,
7,5,8,9,5,5,8,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Shall on its stainless glory set ,",Sadness,,Sadness,
7,5,9,9,5,5,9,"STANZAS WRITTEN IN DEJECTION , NEAR NAPLES .","Will linger , though enjoyed , like joy in memory yet .",Sadness,,Sadness,
8,1,1,4,4,1,1,"BREAK , BREAK , BREAK .","Break , break , break ,",Vitality,,Vitality,
8,1,2,4,4,1,2,"BREAK , BREAK , BREAK .","On thy cold gray stones , O Sea !",Vitality,,Vitality,
8,1,3,4,4,1,3,"BREAK , BREAK , BREAK .",And I would that my tongue could utter,Vitality,,Vitality,
8,1,4,4,4,1,4,"BREAK , BREAK , BREAK .",The thoughts that arise in me .,Vitality,,Vitality,
8,2,1,4,4,2,1,"BREAK , BREAK , BREAK .","O well for the fisherman ""s boy ,",Vitality,,Vitality,
8,2,2,4,4,2,2,"BREAK , BREAK , BREAK .",That he shouts with his sister at play !,Vitality,,Vitality,
8,2,3,4,4,2,3,"BREAK , BREAK , BREAK .","O well for the sailor lad ,",Vitality,,Vitality,
8,2,4,4,4,2,4,"BREAK , BREAK , BREAK .",That he sings in his boat on the bay !,Vitality,,Vitality,
8,3,1,4,4,3,1,"BREAK , BREAK , BREAK .",And the stately ships go on,Vitality,,Beauty / Joy,
8,3,2,4,4,3,2,"BREAK , BREAK , BREAK .",To their haven under the hill ;,Vitality,,Beauty / Joy,
8,3,3,4,4,3,3,"BREAK , BREAK , BREAK .","But O for the touch of a vanish ""d hand ,",Vitality,,Beauty / Joy,
8,3,4,4,4,3,4,"BREAK , BREAK , BREAK .",And the sound of a voice that is still !,Vitality,,Beauty / Joy,
8,4,1,4,4,4,1,"BREAK , BREAK , BREAK .","Break , break , break ,",Vitality,,Vitality,Sadness
8,4,2,4,4,4,2,"BREAK , BREAK , BREAK .","At the foot of thy crags , O Sea !",Vitality,,Vitality,Sadness
8,4,3,4,4,4,3,"BREAK , BREAK , BREAK .",But the tender grace of a day that is dead,Vitality,Sadness,Vitality,Sadness
8,4,4,4,4,4,4,"BREAK , BREAK , BREAK .",Will never come back to me .,Vitality,Sadness,Vitality,Sadness
9,1,1,16,6,1,1,"The White Man""s Burden","TAKE up the White Man""s burden -",Uneasiness,,Vitality,Uneasiness
9,1,2,16,6,1,2,"The White Man""s Burden",Send forth the best ye breed -,Uneasiness,,Vitality,Uneasiness
9,1,3,16,6,1,3,"The White Man""s Burden",Go bind your sons to exile,Uneasiness,,Vitality,Uneasiness
9,1,4,16,6,1,4,"The White Man""s Burden","To serve your captives"" need;",Uneasiness,,Vitality,Uneasiness
9,1,5,16,6,1,5,"The White Man""s Burden",To wait in heavy harness,Uneasiness,,Vitality,Uneasiness
9,1,6,16,6,1,6,"The White Man""s Burden",On fluttered folk and wild -,Uneasiness,,Vitality,Uneasiness
9,1,7,16,6,1,7,"The White Man""s Burden","Your new-caught sullen peoples,",Uneasiness,,Vitality,Uneasiness
9,1,8,16,6,1,8,"The White Man""s Burden",Half devil and half child.,Uneasiness,,Vitality,Uneasiness
9,1,9,16,6,1,9,"The White Man""s Burden","Take up the White Man""s burden -",Uneasiness,,Vitality,Uneasiness
9,1,10,16,6,1,10,"The White Man""s Burden",In patience to abide,Uneasiness,,Vitality,Uneasiness
9,1,11,16,6,1,11,"The White Man""s Burden",To veil the threat of terror,Uneasiness,,Vitality,Uneasiness
9,1,12,16,6,1,12,"The White Man""s Burden",And check the show of pride;,Uneasiness,,Vitality,Uneasiness
9,1,13,16,6,1,13,"The White Man""s Burden","By open speech and simple,",Uneasiness,,Vitality,Uneasiness
9,1,14,16,6,1,14,"The White Man""s Burden","An hundred times made plain,",Uneasiness,,Vitality,Uneasiness
9,1,15,16,6,1,15,"The White Man""s Burden","To seek another""s profit,",Uneasiness,,Vitality,Uneasiness
9,1,16,16,6,1,16,"The White Man""s Burden","And work another""s gain.",Uneasiness,,Vitality,Uneasiness
9,2,1,8,6,2,1,"The White Man""s Burden","Take up the White Man""s burden -",Uneasiness,,Vitality,
9,2,2,8,6,2,2,"The White Man""s Burden",The savage wars of peace -,Uneasiness,,Vitality,
9,2,3,8,6,2,3,"The White Man""s Burden",Fill full the mouth of famine,Uneasiness,,Vitality,
9,2,4,8,6,2,4,"The White Man""s Burden",And bid the sickness cease;,Uneasiness,,Vitality,
9,2,5,8,6,2,5,"The White Man""s Burden",And when your goal is nearest,Uneasiness,,Vitality,Uneasiness
9,2,6,8,6,2,6,"The White Man""s Burden","The end for others sought,",Uneasiness,,Vitality,Uneasiness
9,2,7,8,6,2,7,"The White Man""s Burden",Watch Sloth and heathen Folly,Uneasiness,,Vitality,Uneasiness
9,2,8,8,6,2,8,"The White Man""s Burden",Bring all your hopes to nought.,Uneasiness,,Vitality,Uneasiness
9,3,1,8,6,3,1,"The White Man""s Burden","Take up the White Man""s burden -",Uneasiness,,Vitality,Uneasiness
9,3,2,8,6,3,2,"The White Man""s Burden","No tawdry rule of kings,",Uneasiness,,Vitality,Uneasiness
9,3,3,8,6,3,3,"The White Man""s Burden",But toil of serf and sweeper -,Uneasiness,,Vitality,Uneasiness
9,3,4,8,6,3,4,"The White Man""s Burden",The tale of common things.,Uneasiness,,Vitality,Uneasiness
9,3,5,8,6,3,5,"The White Man""s Burden","The ports ye shall not enter,",Uneasiness,,Vitality,Uneasiness
9,3,6,8,6,3,6,"The White Man""s Burden","The roads ye shall not tread,",Uneasiness,,Vitality,Uneasiness
9,3,7,8,6,3,7,"The White Man""s Burden","Go make them with your living,",Uneasiness,,Vitality,Uneasiness
9,3,8,8,6,3,8,"The White Man""s Burden",And mark them with your dead !,Uneasiness,,Vitality,Uneasiness
9,4,1,8,6,4,1,"The White Man""s Burden","Take up the White Man""s burden -",Uneasiness,,Vitality,Uneasiness
9,4,2,8,6,4,2,"The White Man""s Burden","And reap his old reward,",Uneasiness,,Vitality,Uneasiness
9,4,3,8,6,4,3,"The White Man""s Burden","The blame of those ye better,",Uneasiness,Annoyance,Vitality,Uneasiness
9,4,4,8,6,4,4,"The White Man""s Burden",The hate of those ye guard -,Uneasiness,Annoyance,Vitality,Uneasiness
9,4,5,8,6,4,5,"The White Man""s Burden",The cry of hosts ye humour,Uneasiness,Annoyance,Vitality,Uneasiness
9,4,6,8,6,4,6,"The White Man""s Burden",(Ah slowly !) towards the light:-,Uneasiness,Annoyance,Vitality,Uneasiness
9,4,7,8,6,4,7,"The White Man""s Burden","""Why brought ye us from bondage,",Uneasiness,Annoyance,Vitality,Uneasiness
9,4,8,8,6,4,8,"The White Man""s Burden","""Our loved Egyptian night ?""",Uneasiness,Annoyance,Vitality,Uneasiness
9,5,1,8,6,5,1,"The White Man""s Burden","Take up the White Man""s burden -",Sadness,Uneasiness,Vitality,Uneasiness
9,5,2,8,6,5,2,"The White Man""s Burden",Ye dare not stoop to less -,Sadness,Uneasiness,Vitality,Uneasiness
9,5,3,8,6,5,3,"The White Man""s Burden",Nor call too loud on Freedom,Sadness,Uneasiness,Vitality,Uneasiness
9,5,4,8,6,5,4,"The White Man""s Burden",To cloak your weariness;,Sadness,Uneasiness,Vitality,Uneasiness
9,5,5,8,6,5,5,"The White Man""s Burden","By all ye cry or whisper,",Sadness,Uneasiness,Vitality,Uneasiness
9,5,6,8,6,5,6,"The White Man""s Burden","By all ye leave or do,",Sadness,Uneasiness,Vitality,Uneasiness
9,5,7,8,6,5,7,"The White Man""s Burden",The silent sullen peoples,Sadness,Uneasiness,Vitality,Uneasiness
9,5,8,8,6,5,8,"The White Man""s Burden",Shall weigh your Gods and you.,Sadness,Uneasiness,Vitality,Uneasiness
9,6,1,8,6,6,1,"The White Man""s Burden","Take up the White Man""s burden -",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,2,8,6,6,2,"The White Man""s Burden",Have done with childish days -,Uneasiness,Annoyance,Vitality,Uneasiness
9,6,3,8,6,6,3,"The White Man""s Burden","The lightly proffered laurel,",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,4,8,6,6,4,"The White Man""s Burden","The easy, ungrudged praise.",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,5,8,6,6,5,"The White Man""s Burden","Comes now, to search your manhood",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,6,8,6,6,6,"The White Man""s Burden","Through all the thankless years,",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,7,8,6,6,7,"The White Man""s Burden","Cold-edged with dear-bought wisdom,",Uneasiness,Annoyance,Vitality,Uneasiness
9,6,8,8,6,6,8,"The White Man""s Burden",The judgement of your peers.,Uneasiness,Annoyance,Vitality,Uneasiness
10,1,1,12,2,1,1,The Way through the Woods,They shut the road through the woods,Sadness,,Suspense,
10,1,2,12,2,1,2,The Way through the Woods,Seventy years ago.,Sadness,,Suspense,
10,1,3,12,2,1,3,The Way through the Woods,"Weather and rain have undone it again,",Sadness,Nostalgia,Nostalgia,Sadness
10,1,4,12,2,1,4,The Way through the Woods,And now you would never know,Sadness,Nostalgia,Nostalgia,Sadness
10,1,5,12,2,1,5,The Way through the Woods,There was once a road through the woods,Sadness,Nostalgia,Nostalgia,Sadness
10,1,6,12,2,1,6,The Way through the Woods,Before they planted the trees.,Sadness,Nostalgia,Nostalgia,Sadness
10,1,7,12,2,1,7,The Way through the Woods,"It is underneath the coppice and heath,",Beauty / Joy,,Sadness,
10,1,8,12,2,1,8,The Way through the Woods,And the thin anemones.,Beauty / Joy,,Sadness,
10,1,9,12,2,1,9,The Way through the Woods,Only the keeper sees,Beauty / Joy,Nostalgia,Sadness,Nostalgia
10,1,10,12,2,1,10,The Way through the Woods,"That, where the ring-dove broods,",Beauty / Joy,Nostalgia,Sadness,Nostalgia
10,1,11,12,2,1,11,The Way through the Woods,"And the badgers roll at ease,",Beauty / Joy,Nostalgia,Sadness,Nostalgia
10,1,12,12,2,1,12,The Way through the Woods,There was once a road through the woods.,Beauty / Joy,Nostalgia,Sadness,Nostalgia
10,2,1,13,2,2,1,The Way through the Woods,"Yet, if you enter the woods",Beauty / Joy,,Beauty / Joy,
10,2,2,13,2,2,2,The Way through the Woods,"Of a summer evening late,",Beauty / Joy,,Beauty / Joy,
10,2,3,13,2,2,3,The Way through the Woods,When the night-air cools on the trout-ringed pools,Beauty / Joy,,Beauty / Joy,
10,2,4,13,2,2,4,The Way through the Woods,"Where the otter whistles his mate,",Beauty / Joy,,Beauty / Joy,
10,2,5,13,2,2,5,The Way through the Woods,"(They fear not men in the woods,",Beauty / Joy,,Beauty / Joy,
10,2,6,13,2,2,6,The Way through the Woods,Because they see so few.),Beauty / Joy,,Beauty / Joy,
10,2,7,13,2,2,7,The Way through the Woods,"You will hear the beat of a horse’s feet,",Beauty / Joy,,Nostalgia,Beauty / Joy
10,2,8,13,2,2,8,The Way through the Woods,"And the swish of a skirt in the dew,",Beauty / Joy,,Nostalgia,Beauty / Joy
10,2,9,13,2,2,9,The Way through the Woods,Steadily cantering through,Beauty / Joy,,Nostalgia,Beauty / Joy
